Software Engineering coursework,,,,,,,,,,,,,,,
External events data,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,,Time,,Nature of event,,,,,,,,,,,Action
,,,,,,,,,,,,,,,
Feb 8 2017,,09:00,,"Q1Q tech announce exciting developments in their smartphone range, anticipating a new model in June 2017",,,,,,,,,,,Random traders buy Q1Q stock over 2 days
Mar 6 2017,,13:00,,Dept of Agriculture announces lower than forecast yields in UK foor manufacturing output. ,,,,,,,,,,,Random traders sell stock in food category over 3 days
June 6 2017,,09:00,,Rumours that Q1Q have significant difficulties with their new smartphone product emerge,,,,,,,,,,,Random traders may sell Q1Q stock over 3 days
July 1 2017,,09:00,,Government announces new tradr deal with China,,,,,,,,,,,Random traders buy any UK stock aggressively over 3 days
August 4 2017,,13:00,,A new study is published estimating all UK property to be over valued,,,,,,,,,,,Random traders may sell property stock over 4 days
September 9 2017,,14:00,,UK Government announces a new export initiative for UK hard goods,,,,,,,,,,,Random traders may buy hard goods stocks for 1 day
October 4 2017,,09:00,,US investment firm announces acquisition programme of UK property stocks,,,,,,,,,,,Random traders may buy property stocks over 4 days
,,,,,,,,,,,,,,,
More events may be announced later!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
See a problem with this spreadsheet?,,,,,,,,,,,,,,,
Email: khs20@sussex.ac.uk,,,,,,,,,,,,,,,
